id,name_en,name_ger,description,alternativenames_en,alternativenames_ger,typos_en,typos_ger,link,Cat_I,Cat_II,Cat_III
44,bust,Büste,NULL,busts,Brustbild,NULL,NULL,https://www.wikidata.org/wiki/Q17489160,Statues,NULL,NULL
45,caduceus,Kerykeion,Botenstab,"cadeceus, kerykeion","Cuduceuse, Hermesstab, Caduceus",NULL,NULL,https://www.wikidata.org/wiki/Q238577,Ornaments,NULL,NULL
46,cantharus,Cantharus,Trinkgefäß,"cantharos,  kantharoi,  kantharos,  cantharoi,  canthari",Kantharos,NULL,NULL,https://www.wikidata.org/wiki/Q755706,Vessel-Jar,NULL,NULL
47,cap,Mütze,NULL,caps,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q6147804,Clothing,Headdress,NULL
48,capricorn,Steinbock,NULL,capricorns,,NULL,NULL,https://www.wikidata.org/wiki/Q164272,Astrological,NULL,NULL
49,catapult,Katapult,NULL,catapults,,NULL,NULL,https://www.wikidata.org/wiki/Q184393,Arms,NULL,NULL
50,cestus,Cestus,Schlagring,cesti,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1057669,Arms,NULL,NULL
51,chair,Stuhl,"aus OCRE","chairs, stool, stools",,NULL,NULL,https://www.wikidata.org/wiki/Q15026,Interieur-Furniture,NULL,NULL
52,chalice,Kelch,NULL,chalices,,NULL,NULL,https://www.wikidata.org/wiki/Q98969284,Vessel-Jar,NULL,NULL
53,Chi-Rho,Chi-Rho,"aus OCRE",NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q151970,Ornaments,NULL,NULL
54,chiton,Chiton,Gewand,chitons,Chlaina,NULL,NULL,https://www.wikidata.org/wiki/Q944031,Clothing,NULL,NULL
55,chlamys,Chlamys,Reisemantel,chlamoi,NULL,chalmys,Chalmys,https://www.wikidata.org/wiki/Q1075155,Clothing,NULL,NULL
56,cippus,Cippus,Spitzpfahl,cippi,NULL,NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/cippus_object,Stone,NULL,NULL
57,cista,Cista,Behälter,"cistae, cist, chest",Ciste,NULL,NULL,https://www.wikidata.org/wiki/Q867621,Vessel-Jar,NULL,NULL
58,"cista mystica","cista mystica",NULL,"cistae mysticae",,NULL,NULL,https://www.wikidata.org/wiki/Q17438669,SacrificialImplements,NULL,NULL
59,cithara,Kithara,"eine Art Leier","kithara,  kitharai",Cithara,NULL,NULL,https://www.wikidata.org/wiki/Q12634515,MusicalInstruments,NULL,NULL
60,"city gate",Stadttor,NULL,"city gates",,NULL,NULL,https://www.wikidata.org/wiki/Q82117,Architecture,Gate,NULL
61,"city wall",Stadtmauer,NULL,"city walls",,NULL,NULL,https://www.wikidata.org/wiki/Q16748868,Architecture,Mural,NULL
62,cloak,Mantel,NULL,cloaks,,NULL,NULL,https://www.wikidata.org/wiki/Q516992,Clothing,NULL,NULL
63,cloth,Stoff,NULL,clothes,,NULL,NULL,https://www.wikidata.org/wiki/Q5849500,Clothing,NULL,NULL
64,club,Keule,NULL,clubs,,NULL,NULL,https://www.wikidata.org/wiki/Q392326,Arms,NULL,NULL
65,coat,Umhang,NULL,coats,,NULL,NULL,https://www.wikidata.org/wiki/Q152574,Clothing,NULL,NULL
66,coil,Spirale,"aus OCRE",coils,,NULL,NULL,https://www.wikidata.org/wiki/Q25629903,Ornaments,NULL,NULL
67,Coliseum,Kolloseum,"aus OCRE",Colosseum,Kolloseen,NULL,NULL,https://www.wikidata.org/wiki/Q10285,Architecture,NULL,NULL
68,collar,Halsband,NULL,collars,,NULL,NULL,https://www.wikidata.org/wiki/Q497903,Tools,AnimalRestraints,NULL
69,column,Säule,NULL,"columns, columned, pillar, pillared, colonnaded",Pfeiler,NULL,NULL,https://www.wikidata.org/wiki/Q4817,Architecture,ArchitecturalElements,NULL
