id,name_en,name_ger,description,alternativenames_en,alternativenames_ger,typos_en,typos_ger,link,Cat_I,Cat_II,Cat_III
192,rudder,Ruder,NULL,rudders,Steuerruder,ruder,NULL,https://www.wikidata.org/wiki/Q209760,NauticalObject,Ship,ShipPart
193,sail,Segel,NULL,sails,,NULL,NULL,https://www.wikidata.org/wiki/Q25999,NauticalObject,Ship,ShipPart
194,sandal,Sandale,NULL,sandals,Sandalen,NULL,NULL,https://www.wikidata.org/wiki/Q131704,Clothing,NULL,NULL
195,scale,Schuppe,NULL,scaled,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q188488,Clothing,Armour,NULL
196,"scale cuirass",Schuppenpanzer,NULL,"scale cuirasses",,NULL,NULL,https://www.wikidata.org/wiki/Q574602,Clothing,Armour,NULL
197,scales,Waage,NULL,NULL,,NULL,NULL,https://www.wikidata.org/wiki/Q134566,Tools,NULL,NULL
198,scepter,Zepter,NULL,"sceptre,  scepters, sceptres",,scetpre,scetpre,https://www.wikidata.org/wiki/Q152065,Bar,NULL,NULL
199,scroll,Schriftrolle,NULL,scrolls,,NULL,NULL,https://www.wikidata.org/wiki/Q720106,Tools,NULL,NULL
200,"serpent staff",Schlangenstab,NULL,"serpent staffs",,NULL,NULL,https://www.wikidata.org/wiki/Q223377,Ornaments,NULL,NULL
201,shield,Schild,NULL,shields,,NULL,NULL,https://www.wikidata.org/wiki/Q131559,Arms,NULL,NULL
202,ship,Schiff,NULL,ships,,NULL,NULL,https://www.wikidata.org/wiki/Q11446,NauticalObject,Ship,NULL
203,shrine,Schrein,"aus OCRE",shrines,,NULL,NULL,https://www.wikidata.org/wiki/Q697295,Architecture,NULL,NULL
204,sickle,Sichel,"aus OCRE",sickles,,NULL,NULL,https://www.wikidata.org/wiki/Q42233,Tools,NULL,NULL
205,simpulum,Simpulum,"aus OCRE",simpula,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q574487,SacrificialImplements,NULL,NULL
206,simulacrum,Simulacrum,"aus CN Erweiterung",simulacra,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1412596,Ornaments,NULL,NULL
207,sistrum,Sistrum,Musikinstrument," sistra",,NULL,NULL,https://www.wikidata.org/wiki/Q426948,MusicalInstruments,NULL,NULL
208,situla,Situla,Gefäß,situlae,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1650313,Vessel-Jar,NULL,NULL
209,spear,Speer,NULL,"spears, spearhead, spearheads",Speerspitze,spearight,spearight,https://www.wikidata.org/wiki/Q44475,Arms,NULL,NULL
210,sprinkler,Sprenger,"aus OCRE",sprinklers,NULL,NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/sprinkler_object,SacrificialImplements,NULL,NULL
211,staff,Stab,NULL,staffs,,NULL,NULL,https://www.wikidata.org/wiki/Q10971443,Tools,NULL,NULL
212,standard,Standarte,NULL,standards,,NULL,NULL,https://www.wikidata.org/wiki/Q351240,Ornaments,NULL,NULL
213,star,Stern,NULL,stars,,NULL,NULL,https://www.wikidata.org/wiki/Q1191504,Astrological,NULL,NULL
214,statue,Statue,NULL,statues,,NULL,NULL,https://www.wikidata.org/wiki/Q179700,Statues,NULL,NULL
215,statuette,Statuette,NULL,statuettes,,NULL,NULL,https://www.wikidata.org/wiki/Q1066288,Statues,NULL,NULL
216,stefane,Stefane,Kopfschmuck,"stephanos,  stephane,  stephanoi",stephane,NULL,NULL,https://www.wikidata.org/wiki/Q7608187,Clothing,Headdress,NULL
217,step,Stufe,"aus OCRE",steps,,NULL,NULL,https://www.wikidata.org/wiki/Q53996838,Interieur-Furniture,NULL,NULL
218,stern,Heck,NULL,sterns,,NULL,NULL,https://www.wikidata.org/wiki/Q273062,NauticalObject,Ship,ShipPart
219,stick,Stock,"aus OCRE",sticks,,NULL,NULL,https://www.wikidata.org/wiki/Q10971443,Bar,NULL,NULL
220,stoa,Stoa,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q327328,Architecture,NULL,NULL
221,stone,Stein,NULL,stones,,NULL,NULL,https://www.wikidata.org/wiki/Q22731,Stone,NULL,NULL
222,strap,Gurt,NULL,straps," Rieme",NULL,NULL,https://www.wikidata.org/wiki/Q3217573,Tools,NULL,NULL
223,sun,Sonne,NULL,suns,,NULL,NULL,https://www.wikidata.org/wiki/Q525,Astrological,NULL,NULL
224,swastika,Swastika,NULL,swastikae,,NULL,NULL,https://www.wikidata.org/wiki/Q45513,Ornaments,NULL,NULL
225,sword,Schwert,NULL,swords,,NULL,NULL,https://www.wikidata.org/wiki/Q12791,Arms,NULL,NULL
226,syrinx,Syrinx,"aus OCRE",syrinxes,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q10902606,MusicalInstruments,NULL,NULL
227,table,Tisch,NULL,tables,,NULL,NULL,https://www.wikidata.org/wiki/Q14748,Interieur-Furniture,NULL,NULL
228,tablet,Tablett,"aus OCRE",tablets,,NULL,NULL,https://www.wikidata.org/wiki/Q16744570,Ornaments,NULL,NULL
229,taenia,Taenia,Binde,teniae,,NULL,NULL,https://www.wikidata.org/wiki/Q2463628,Ornaments,NULL,NULL
230,temple,Tempel,NULL,temples,,NULL,NULL,https://www.wikidata.org/wiki/Q44539,Architecture,NULL,NULL
231,tensa,Tensa,"aus OCRE",tensae,NULL,NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/tensa_object,VehicelObjects,NULL,NULL
232,tessera,Tessera,"aus OCRE",tesserae,Terassen,NULL,NULL,https://www.wikidata.org/wiki/Q9137136,Tools,NULL,NULL
233,throne,Thron,NULL,"thrones, enthroned",,NULL,NULL,https://www.wikidata.org/wiki/Q189233,Interieur-Furniture,NULL,NULL
234,thunderbolt,Blitz,NULL,"thunderbolts, lightning",Blitzbündel,thunderbold,,https://www.wikidata.org/wiki/Q2794866,Astrological,NULL,NULL
235,thymiaterion,Thymiaterion,Räuchergefäß,thymateria,thymateria,NULL,NULL,https://www.wikidata.org/wiki/Q662620,Vessel-Jar,NULL,NULL
236,thyrsus,Thyrsos,"pflanzlicher Stab des Dionysos und seiner Begleiter","thyrsi,  thyrsoi, thyrsos","thyrsus,  thyrsi,  thyrsoi, thyrsosstab",NULL,NULL,https://www.wikidata.org/wiki/Q536850,Bar,NULL,NULL
237,tiara,Tiara,NULL,tiaraed,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q749249,Ornaments,NULL,NULL
238,toga,Toga,"Gewand römischer männlicher Bürger",togae,Togen,NULL,NULL,https://www.wikidata.org/wiki/Q183171,Clothing,NULL,NULL
239,torch,Fackel,NULL,torches,,NULL,NULL,https://www.wikidata.org/wiki/Q327954,Tools,NULL,NULL
240,tower,Turm,NULL,"towers, turreted",,NULL,NULL,https://www.wikidata.org/wiki/Q12518,Architecture,NULL,NULL
241,trabea,Trabea,"aus OCRE",trabeae,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1620647,Clothing,NULL,NULL
242,trident,Dreizack,NULL,tridents,,NULL,NULL,https://www.wikidata.org/wiki/Q271628,Arms,NULL,NULL
243,tripod,Dreifuß,Dreifuß,tripods,Dreibein,NULL,NULL,https://www.wikidata.org/wiki/Q915527,Interieur-Furniture,NULL,NULL
244,triskele,Triskele,NULL,"triskelion, triskelia, triskeles",triskelion,NULL,NULL,https://www.wikidata.org/wiki/Q183534,Ornaments,NULL,NULL
245,tropaion,Tropaion,Siegeszeichen,tropaia," tropaia",NULL,NULL,https://www.wikidata.org/wiki/Q1753584,Architecture,NULL,NULL
246,trophy,Trophäe,NULL,trophies,,NULL,NULL,https://www.wikidata.org/wiki/Q381165,Architecture,NULL,NULL
247,tunic,Tunika,"aus OCRE",tunica,,NULL,NULL,https://www.wikidata.org/wiki/Q201714,Clothing,NULL,NULL
248,tympanon,Tympanon,"Musikinstrument (Handtrommel)","tympana, tympanum",Tympana,NULL,NULL,https://www.wikidata.org/wiki/Q386382,MusicalInstruments,NULL,NULL
249,urn,Urne,NULL,urns,,NULL,NULL,https://www.wikidata.org/wiki/Q11083119,Vessel-Jar,NULL,NULL
250,vase,Vase,"aus OCRE",vases,,NULL,NULL,https://www.wikidata.org/wiki/Q191851,Vessel-Jar,NULL,NULL
251,veil,Schleier,NULL,"veils, veiled",,NULL,NULL,https://www.wikidata.org/wiki/Q6497446,Clothing,NULL,NULL
252,vessel,Gefäß,NULL,vessels,,NULL,NULL,https://www.wikidata.org/wiki/Q987767,Vessel-Jar,NULL,NULL
253,vexillum,Vexillum,Feldzeichen,vexilla,vexilla,NULL,NULL,https://www.wikidata.org/wiki/Q264655,Ornaments,NULL,NULL
254,visor,Schirm,NULL,visors,,NULL,NULL,https://www.wikidata.org/wiki/Q17839578,Arms,NULL,NULL
255,wand,Zauberstab,"aus OCRE",wands,,NULL,NULL,https://www.wikidata.org/wiki/Q148493,Ornaments,NULL,NULL
256,"water urn",Quellgefäß,NULL,"water urns",NULL,NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/water_urn_object,Vessel-Jar,NULL,NULL
257,weapon,Waffe,"aus OCRE",weapons,,NULL,NULL,https://www.wikidata.org/wiki/Q728,Arms,NULL,NULL
258,wheel,Rad,NULL,wheels,,NULL,NULL,https://www.wikidata.org/wiki/Q446,VehicelObjects,NULL,NULL
259,whip,Peitsche,NULL,whips,,NULL,NULL,https://www.wikidata.org/wiki/Q152910,Tools,NULL,NULL
260,"wine skin",Weinschlauch,NULL,"wineskin, winer skins, wineskins",Schlauch,NULL,NULL,https://www.wikidata.org/wiki/Q21094365,Vessel-Jar,NULL,NULL
261,wreath,Kranz,NULL,"wreaths, laureate, wreathed",,NULL,NULL,https://www.wikidata.org/wiki/Q1201922,Clothing,Headdress,NULL
262,zodiac,Zodiac,NULL,"zodiacs, zodiacus",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q40540,Astrological,NULL,NULL
512,kausia,Kausia,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q525651,Clothing,NULL,NULL
513,protome,protome,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q2113757,BodyParts,NULL,NULL
514,hand,Hand,NULL,hands,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q33767,BodyParts,NULL,NULL
515,hammer,Hammer,NULL,hammers,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q25294,Tools,NULL,NULL
516,skirt,Rock,NULL,"kilt, kilts, skirts",Kilt,NULL,NULL,https://www.wikidata.org/wiki/Q2160801,Clothing,NULL,NULL
517,mace,Streitkolben,NULL,maces,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q272990,Arms,NULL,NULL
518,knot,Knoten,NULL,"knots, knotted",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q527395,Tools,NULL,NULL
519,wave,Welle,NULL,waves,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q165848,NauticalObject,NULL,NULL
520,wing,Flügel,NULL,"wings, winged",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q161358,BodyParts,NULL,NULL
521,plough,Pflug,NULL,ploughs,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q11464,Tools,NULL,NULL
522,mantle,Mantel,NULL,mantles,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q6752131,Clothing,NULL,NULL
523,eye,Auge,NULL,eyes,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q7364,BodyParts,NULL,NULL
524,falcata,Falcata,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1059687,Arms,NULL,NULL
525,"fibula ","Fibula ",NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q324926,Ornaments,NULL,NULL
526,turban,Turban,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q2460567,Clothing,NULL,NULL
527,bun,Haarknoten,NULL,buns,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q15240969,BodyParts,NULL,NULL
528,shoulder,Schulter,NULL,shoulders,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q16363,BodyParts,NULL,NULL
529,pendant,Schmuck,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q2111434,Ornaments,NULL,NULL
530,mane,Mähne,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q263661,BodyParts,NULL,NULL
531,collar,Kragen,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q497903,Clothing,NULL,NULL
532,ray,Strahl,NULL,rays,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q633620,Ornaments,NULL,NULL
533,arm,Arm,NULL,arms,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q43471,BodyParts,NULL,NULL
534,umbo,Umbo,NULL,"shield boss",Schildbuckel,NULL,NULL,https://www.wikidata.org/wiki/Q721086,Arms,NULL,NULL
535,horn,Horn,NULL,horns,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q82025,BodyParts,NULL,NULL
536,foot,Fuß,NULL,feet,Füße,NULL,NULL,https://www.wikidata.org/wiki/Q15807,BodyParts,NULL,NULL
537,ingot,Barren,NULL,ingots,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q83893,Tools,NULL,NULL
538,anvil,Amboss,NULL,anvils,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q104363,Tools,NULL,NULL
539,tongue,Zunge,NULL,tongues,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q9614,BodyParts,NULL,NULL
540,lamp,Lampe,NULL,lamps,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1138737,Tools,NULL,NULL
541,chin,Kinn,NULL,chins,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q82714,BodyParts,NULL,NULL
542,nape,Genick,NULL,napes,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q374727,BodyParts,NULL,NULL
543,lappet,Inful,NULL,"lappets, ínfulas",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1454931,Ornaments,NULL,NULL
544,hair,Haar,NULL,hairs,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q28472,BodyParts,NULL,NULL
545,knife,Messer,NULL,knifes,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q32489,Tools,NULL,NULL
547,handle,Griff,NULL,handles,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q200266,Vessel-Jar,NULL,NULL
549,hat,Hut,NULL,hats,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q80151,Clothing,NULL,NULL
550,bone,Knochen,NULL,bones,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q265868,BodyParts,NULL,NULL
551,blade,Klinge,NULL,blades,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q330946,Arms,NULL,NULL
552,spoke,Speiche,NULL,spokes,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q845671,VehicelObjects,NULL,NULL
554,feather,Feder,NULL,"feathers, feathered, plumed",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q81025,Ornaments,NULL,NULL
556,belt,Gürtel,NULL,"belts, belted",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q134560,Clothing,NULL,NULL
557,chain,Kette,NULL,"chains, chained",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q2397485,SacrificialImplements,NULL,NULL
558,draped,Gewand,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q19708955,Clothing,NULL,NULL
559,claw,Schere,NULL,claws,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q217605,BodyParts,NULL,NULL
560,"crab claw",Krebsschere,NULL,"crab claws",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1069045,BodyParts,NULL,NULL
